scenario,total_cost_USD,thermal_cost_USD,hydro_cost_USD,bess_cost_USD,ens_cost_USD,curtailment_cost_USD,total_demand_MWh,thermal_generation_MWh,hydro_generation_MWh,renewable_available_MWh,renewable_used_MWh,curtailment_MWh,curtailment_percent,ENS_MWh,renewable_share_used_percent,CMO_USD_MWh,max_bess_soc_MWh,min_bess_soc_MWh,bess_pmax_total_MW,bess_emax_total_MWh,bess_cycled_MWh
Base_CDF_ERNC_Actual,3440407.498150536,2425502.6981505384,1014904.7999999975,0.0,0.0,0.0,122709.4669185874,49767.15250819124,70652.39999999982,2289.914410396281,2289.914410396281,0.0,0.0,0.0,1.8661269320936285,28.0370177179003,180.0,180.0,140.0,360.0,0.0
ERNC_x3_BESS_Moderado,3209747.1363800913,2194842.3363800924,1014904.7999999991,0.0,0.0,0.0,122709.4669185874,45187.32368739894,70652.3999999999,6869.743231188842,6869.743231188842,0.0,0.0,0.0,5.598380796280885,26.157290199211968,180.0,180.0,140.0,360.0,0.0
ERNC_x8_BESS_Alto,2768919.50257189,1734518.3127395888,1014904.7999999998,1281.6842105263158,0.0,18214.70562177525,122709.4669185874,36031.010890770645,70652.4,18319.315283170246,16042.477080448341,2276.8382027219063,12.42862065272501,0.0,13.07354475844301,22.56484012279959,440.0,280.0,280.0,720.0,320.42105263157896
ERNC_x8_Sin_BESS,2776578.809913444,1742112.8154387504,1014904.7999999998,0.0,0.0,19561.19447469379,122709.4669185874,36182.900944753885,70652.4,18319.315283170246,15874.165973833522,2445.149309336724,13.34738373973538,0.0,12.936382475172326,22.627258349639707,0.0,0.0,0.0,0.003,0.0
ERNC_x8_Demanda_Alta,3708803.14027162,2673293.976664605,1014904.7999999999,1281.6842105263158,0.0,19322.679396488486,141115.8869563755,54575.92765039796,70652.39999999998,18319.315283170246,15903.980358609188,2415.3349245610607,13.184635381978508,0.0,11.270155828397789,26.281967397605328,440.0,280.0,280.0,720.0,320.42105263157896
